Culture,Bloc,Composition,Jours,Biomasse ,RYT,NE,CE,SE,RS,DFSF,DFSLA,DFfMI,DFfALL
J40B2LmSpWc,2,LmSpWc,40,1959.9,1.010865857,68.33191035,20.45171648,47.88019387,3,8.3289134,2.14947434,1.17084623,8.9875593
J40B2LmSpLt,2,LmSpLt,40,1763.8,1.370570263,425.6457865,453.5903546,-27.94456807,3,6.4106125,0.31593763,0.91686287,6.4869875
J40B2LmWcLt,2,LmWcLt,40,2064.9,1.247223717,571.313743,339.1002908,232.2134521,3,4.8859069,2.17910526,0.61904174,5.3993437
J40B2SpWcLt,2,SpWcLt,40,1743.5,1.116209478,404.5562449,146.369711,258.1865339,3,9.3119698,2.09839988,1.26856691,9.8185073
J40B2LmSpWcLt,2,LmSpWcLt,40,1972.8,1.245111314,463.530813,351.5754132,111.9553998,4,6.9615417,1.80818592,0.97184018,7.4952065
J40B3LmSp,3,LmSp,40,2130.4,1.103266112,232.2621949,193.6601038,38.6020911,2,7.2839899,0.28288212,1.07280096,7.3680007
J40B3LmWc,3,LmWc,40,2085.3,0.985307083,-26.33857724,-31.06376581,4.725188577,2,5.3846369,2.58189671,0.64981868,6.0068935
J40B3LmLt,3,LmLt,40,1962.9,1.731258327,724.3025493,799.9966101,-75.69406082,2,0.1523039,0.36884081,0.09778742,0.4108557
J40B3SpWc,3,SpWc,40,1849.1,0.911047044,-90.26604076,-171.0965639,80.83052317,2,12.7326103,2.29203853,1.73227375,13.052723
J40B3SpLt,3,SpLt,40,1568.2,1.518382565,641.6555836,468.2290514,173.4265322,2,7.2272706,0.09012841,0.98745489,7.2949729
J40B3WcLt,3,WcLt,40,2124.5,1.239518982,884.1976465,273.5546295,610.643017,2,5.5042232,2.19155687,0.74470203,5.971095
J40B3LmSpWc,3,LmSpWc,40,1848.3,0.90289662,-133.6063768,-191.390762,57.78438517,3,8.3289134,2.14947434,1.17084623,8.9875593
J40B3LmSpLt,3,LmSpLt,40,1786.7,1.263923566,376.7390159,340.6901344,36.04888143,3,6.4106125,0.31593763,0.91686287,6.4869875
J40B3LmWcLt,3,LmWcLt,40,2068.6,1.347242941,491.633185,503.5369884,-11.90380331,3,4.8859069,2.17910526,0.61904174,5.3993437
J40B3SpWcLt,3,SpWcLt,40,1804.3,1.136173758,399.5026601,180.1488039,219.3538561,3,9.3119698,2.09839988,1.26856691,9.8185073
J40B3LmSpWcLt,3,LmSpWcLt,40,2036.1,1.242439625,449.5848716,365.7747234,83.81014826,4,6.9615417,1.80818592,0.97184018,7.4952065
J60B1LmSp,1,LmSp,60,2697.7,0.922889206,-79.82382804,-209.3596603,129.5358322,2,7.2839899,0.28288212,1.07280096,7.3680007
J60B1LmWc,1,LmWc,60,3086.1,0.965079463,-105.0359756,-111.3441317,6.308156128,2,5.3846369,2.58189671,0.64981868,6.0068935
J60B1LmLt,1,LmLt,60,2891,1.831708535,955.7568167,1420.225494,-464.4686769,2,0.1523039,0.36884081,0.09778742,0.4108557
J60B1SpWc,1,SpWc,60,2295,0.846772657,-402.0988779,-408.4351448,6.336266838,2,12.7326103,2.29203853,1.73227375,13.052723
J60B1SpLt,1,SpLt,60,2246.3,2.062675323,1031.614856,1258.898321,-227.2834654,2,7.2272706,0.09012841,0.98745489,7.2949729
J60B1WcLt,1,WcLt,60,3159.4,1.291373976,1358.751612,483.1271903,875.6244219,2,5.5042232,2.19155687,0.74470203,5.971095
